t=40 s=9 time=0.000603
t=40 s=5 time=0.000657
t=40 s=3 time=0.000624
t=40 s=2 time=0.000421
t=41 s=41 time=0.000327
t=41 s=37 time=0.000342
t=41 s=14 time=0.000496
t=41 s=12 time=0.000511
t=41 s=11 time=0.000575
t=41 s=10 time=0.000537
t=41 s=7 time=0.000532
t=41 s=6 time=0.000589
t=41 s=4 time=0.00069
t=41 s=3 time=0.000792
t=42 s=42 time=0.000351
t=42 s=38 time=0.00035
t=42 s=15 time=0.000516
t=42 s=13 time=0.000543
t=42 s=12 time=0.000624
t=42 s=11 time=0.000698
t=42 s=10 time=0.000684
t=42 s=9 time=0.000513
t=42 s=8 time=0.000778
t=42 s=7 time=0.000936
t=42 s=6 time=0.000861
t=42 s=5 time=0.000918
t=42 s=4 time=0.001213
t=42 s=3 time=0.001335
t=43 s=43 time=0.000351
t=43 s=39 time=0.000336
t=43 s=13 time=0.000593
t=43 s=12 time=0.000624
t=43 s=9 time=0.000622
t=43 s=8 time=0.000596
t=43 s=6 time=0.000742
t=43 s=5 time=0.00072
t=43 s=4 time=0.000743
t=44 s=44 time=0.000405
t=44 s=40 time=0.000513
t=44 s=14 time=0.000746
t=44 s=13 time=0.00085
t=44 s=10 time=0.000634
t=44 s=9 time=0.000596
t=44 s=7 time=0.000804
t=44 s=6 time=0.000816
t=44 s=5 time=0.000763
t=44 s=4 time=0.00091
t=44 s=3 time=0.000852
t=44 s=2 time=0.000553
t=45 s=45 time=0.000373
t=45 s=41 time=0.000406
t=45 s=14 time=0.000776
t=45 s=12 time=0.000626
t=45 s=11 time=0.000792
t=45 s=10 time=0.000834
t=45 s=9 time=0.000632
t=45 s=8 time=0.000777
t=45 s=7 time=0.000832
t=45 s=5 time=0.001012
t=45 s=4 time=0.001111
t=45 s=3 time=0.001252
t=46 s=46 time=0.000505
t=46 s=42 time=0.000435
t=46 s=15 time=0.00084
t=46 s=14 time=0.000654
t=46 s=12 time=0.000667
t=46 s=11 time=0.000874
t=46 s=6 time=0.001198
t=46 s=5 time=0.000862
t=46 s=4 time=0.001349
t=46 s=3 time=0.001202
t=47 s=47 time=0.000437
t=47 s=43 time=0.000386
t=47 s=16 time=0.000652
t=47 s=15 time=0.000697
t=47 s=13 time=0.000725
t=47 s=12 time=0.000756
t=47 s=6 time=0.001056
t=47 s=5 time=0.001172
t=47 s=4 time=0.001195
t=48 s=48 time=0.000426
t=48 s=44 time=0.000392
t=48 s=13 time=0.000869
t=48 s=12 time=0.000769
t=48 s=11 time=0.000673
t=48 s=10 time=0.000668
t=48 s=9 time=0.000888
t=48 s=8 time=0.000761
t=48 s=7 time=0.001393
t=48 s=6 time=0.002313
t=48 s=5 time=0.001204
t=48 s=4 time=0.001815
t=48 s=3 time=0.00144
t=49 s=49 time=0.000471
t=49 s=45 time=0.000404
t=49 s=16 time=0.000686
t=49 s=14 time=0.000701
t=49 s=8 time=0.001022
t=49 s=7 time=0.001193
t=49 s=5 time=0.0018
t=49 s=4 time=0.002244
t=50 s=50 time=0.000429
t=50 s=46 time=0.000376
t=50 s=17 time=0.000679
t=50 s=15 time=0.000795
t=50 s=14 time=0.000761
t=50 s=10 time=0.000708
t=50 s=9 time=0.000751
t=50 s=8 time=0.001151
t=50 s=7 time=0.000866
t=50 s=6 time=0.001859
t=50 s=5 time=0.002231
t=51 s=51 time=0.000488
t=51 s=47 time=0.000432
t=51 s=16 time=0.000958
t=51 s=15 time=0.000896
t=51 s=14 time=0.000793
t=51 s=13 time=0.000688
t=51 s=12 time=0.000693
t=51 s=11 time=0.000762
t=51 s=10 time=0.001048
t=51 s=9 time=0.001008
t=51 s=6 time=0.001457
t=52 s=52 time=0.000476
t=52 s=48 time=0.000416
t=52 s=18 time=0.000688
t=52 s=17 time=0.000809
t=52 s=15 time=0.000966
t=52 s=11 time=0.000908
t=52 s=9 time=0.000872
t=52 s=8 time=0.000871
t=52 s=7 time=0.001127
t=52 s=6 time=0.001855
t=52 s=4 time=0.002074
t=52 s=3 time=0.001844
t=53 s=53 time=0.000451
t=53 s=49 time=0.000419
t=53 s=18 time=0.000743
t=53 s=16 time=0.000796
t=53 s=7 time=0.001576
t=53 s=5 time=0.001941
t=53 s=4 time=0.002472
t=54 s=54 time=0.00049
t=54 s=50 time=0.000414
t=54 s=19 time=0.000731
t=54 s=17 time=0.000825
t=54 s=16 time=0.000812
t=54 s=15 time=0.000804
t=54 s=14 time=0.000771
t=54 s=13 time=0.000736
t=54 s=12 time=0.000781
t=54 s=11 time=0.000758
t=54 s=10 time=0.001158
t=54 s=9 time=0.000886
t=54 s=8 time=0.00133
t=54 s=7 time=0.001757
t=54 s=6 time=0.002138
t=54 s=5 time=0.002974
t=54 s=4 time=0.002926
t=55 s=55 time=0.000494
t=55 s=51 time=0.000476
t=55 s=17 time=0.000805
t=55 s=16 time=0.000801
t=55 s=10 time=0.000956
t=55 s=9 time=0.000985
t=55 s=8 time=0.001471
t=55 s=7 time=0.00187
t=55 s=6 time=0.002388
t=56 s=56 time=0.00051
t=56 s=52 time=0.000465
t=56 s=18 time=0.000852
t=56 s=17 time=0.001028
t=56 s=11 time=0.001129
t=56 s=8 time=0.001394
t=56 s=7 time=0.001792
t=56 s=6 time=0.002903
t=56 s=5 time=0.003001
t=56 s=4 time=0.002897
t=57 s=57 time=0.000552
t=57 s=53 time=0.000455
t=57 s=18 time=0.001161
t=57 s=16 time=0.001258
t=57 s=15 time=0.000911
t=57 s=14 time=0.000986
t=57 s=13 time=0.000996
t=57 s=12 time=0.000985
t=57 s=11 time=0.000966
t=57 s=10 time=0.001032
t=57 s=9 time=0.001824
t=57 s=7 time=0.001868
t=57 s=6 time=0.002722
t=57 s=5 time=0.002725
t=58 s=58 time=0.000562
t=58 s=54 time=0.000453
t=58 s=19 time=0.001121
t=58 s=18 time=0.000852
t=58 s=12 time=0.000988
t=58 s=11 time=0.001097
t=58 s=10 time=0.001001
t=58 s=9 time=0.000926
t=58 s=8 time=0.001194
t=58 s=7 time=0.002375
t=59 s=59 time=0.000651
t=59 s=55 time=0.000496
t=59 s=20 time=0.00087
t=59 s=19 time=0.000855
t=59 s=13 time=0.0011
t=59 s=12 time=0.001187
t=59 s=8 time=0.002476
t=59 s=7 time=0.002774
t=59 s=6 time=0.003954
t=60 s=60 time=0.000728
t=60 s=56 time=0.000489
t=60 s=17 time=0.001182
t=60 s=16 time=0.001138
t=60 s=15 time=0.000923
t=60 s=14 time=0.001295
t=60 s=13 time=0.001936
t=60 s=12 time=0.001419
t=60 s=11 time=0.001094
t=60 s=10 time=0.000997
t=60 s=9 time=0.000992
t=60 s=8 time=0.002771
t=60 s=6 time=0.003936
t=60 s=5 time=0.002358
[38;2;000;128;000mTime: 0.327496s (2025-08-28 09:18:47)
[0mt=0 s=0 time=9e-05
t=1 s=1 time=0.000339
t=2 s=2 time=0.000325
t=2 s=1 time=0.000289
t=3 s=3 time=0.000293
t=4 s=4 time=0.000298
t=4 s=2 time=0.000289
t=5 s=5 time=0.0003
t=6 s=6 time=0.000305
t=6 s=1 time=0.000288
t=7 s=7 time=0.000262
t=7 s=3 time=0.000266
t=8 s=8 time=0.000291
t=8 s=4 time=0.000411
t=8 s=2 time=0.000386
t=8 s=1 time=0.000255
t=9 s=9 time=0.000278
t=9 s=5 time=0.000277
t=9 s=2 time=0.000342
t=10 s=10 time=0.000355
t=10 s=6 time=0.000334
t=10 s=3 time=0.000374
t=10 s=2 time=0.000349
t=11 s=11 time=0.000332
t=11 s=7 time=0.00034
t=11 s=4 time=0.000435
t=11 s=3 time=0.000386
t=12 s=12 time=0.000369
t=12 s=8 time=0.000389
t=12 s=1 time=0.000337
t=13 s=13 time=0.000337
t=13 s=9 time=0.000272
t=13 s=4 time=0.000327
t=13 s=2 time=0.000338
t=14 s=14 time=0.000335
t=14 s=10 time=0.000283
t=14 s=5 time=0.000312
t=14 s=3 time=0.000353
t=14 s=2 time=0.000397
t=15 s=15 time=0.000311
t=15 s=11 time=0.000277
t=15 s=4 time=0.000316
t=15 s=3 time=0.000318
t=16 s=16 time=0.000297
t=16 s=12 time=0.000333
t=16 s=6 time=0.000406
t=16 s=5 time=0.000311
t=16 s=3 time=0.000302
t=16 s=2 time=0.000285
t=16 s=1 time=0.000347
t=17 s=17 time=0.000399
t=17 s=13 time=0.000381
t=17 s=6 time=0.000342
t=17 s=4 time=0.00035
t=17 s=3 time=0.000355
t=17 s=2 time=0.000306
t=18 s=18 time=0.000273
t=18 s=14 time=0.000296
t=18 s=7 time=0.000332
t=18 s=5 time=0.000346
t=18 s=4 time=0.000369
t=18 s=3 time=0.000333
t=18 s=2 time=0.000305
t=19 s=19 time=0.000279
t=19 s=15 time=0.000291
t=19 s=5 time=0.000354
t=19 s=4 time=0.000343
t=20 s=20 time=0.000298
t=20 s=16 time=0.000308
t=20 s=6 time=0.000375
t=20 s=5 time=0.000406
t=20 s=3 time=0.000325
t=20 s=2 time=0.000332
t=21 s=21 time=0.000286
t=21 s=17 time=0.000293
t=21 s=6 time=0.000411
t=21 s=4 time=0.000345
t=21 s=3 time=0.000314
t=22 s=22 time=0.000278
t=22 s=18 time=0.000294
t=22 s=7 time=0.000466
t=22 s=6 time=0.000364
t=22 s=4 time=0.000349
t=22 s=3 time=0.000357
t=22 s=2 time=0.000326
t=23 s=23 time=0.00031
t=23 s=19 time=0.000291
t=23 s=8 time=0.000385
t=23 s=7 time=0.000393
t=23 s=5 time=0.000346
t=23 s=4 time=0.000383
t=24 s=24 time=0.000336
t=24 s=20 time=0.000308
t=24 s=5 time=0.000396
t=24 s=4 time=0.000406
t=24 s=3 time=0.000323
t=25 s=25 time=0.0003
t=25 s=21 time=0.000293
t=25 s=8 time=0.00038
t=25 s=6 time=0.000385
t=25 s=3 time=0.000357
t=26 s=26 time=0.000337
t=26 s=22 time=0.000311
t=26 s=9 time=0.000374
t=26 s=7 time=0.000393
t=26 s=6 time=0.000376
t=26 s=4 time=0.000388
t=27 s=27 time=0.000311
t=27 s=23 time=0.000289
t=27 s=8 time=0.000389
t=27 s=7 time=0.000395
t=27 s=6 time=0.000376
t=27 s=5 time=0.000355
t=27 s=4 time=0.000375
t=28 s=28 time=0.000307
t=28 s=24 time=0.000299
t=28 s=10 time=0.000384
t=28 s=9 time=0.000417
t=28 s=7 time=0.000406
t=28 s=3 time=0.00039
t=29 s=29 time=0.000314
t=29 s=25 time=0.000296
t=29 s=10 time=0.000411
t=29 s=8 time=0.000409
t=29 s=5 time=0.000408
t=30 s=30 time=0.000308
t=30 s=26 time=0.000294
t=30 s=11 time=0.000616
t=30 s=9 time=0.000502
t=30 s=8 time=0.000402
t=30 s=7 time=0.000397
t=30 s=6 time=0.000421
t=30 s=5 time=0.000367
t=30 s=4 time=0.000394
t=31 s=31 time=0.000315
t=31 s=27 time=0.000304
t=31 s=9 time=0.000431
t=31 s=8 time=0.000444
t=31 s=4 time=0.00043
t=32 s=32 time=0.000302
t=32 s=28 time=0.000309
t=32 s=10 time=0.000458
t=32 s=9 time=0.000533
t=32 s=2 time=0.000356
t=32 s=1 time=0.000278
t=33 s=33 time=0.000289
t=33 s=29 time=0.000306
t=33 s=10 time=0.000513
t=33 s=8 time=0.000439
t=33 s=7 time=0.000393
t=33 s=6 time=0.00038
t=33 s=5 time=0.000426
t=33 s=3 time=0.000476
t=33 s=2 time=0.000319
t=34 s=34 time=0.000291
t=34 s=30 time=0.000349
t=34 s=11 time=0.000552
t=34 s=10 time=0.000458
t=34 s=4 time=0.000451
t=34 s=3 time=0.000531
t=34 s=2 time=0.000353
t=35 s=35 time=0.000298
t=35 s=31 time=0.000337
t=35 s=12 time=0.000518
t=35 s=11 time=0.000475
t=35 s=5 time=0.000504
t=35 s=4 time=0.000481
t=36 s=36 time=0.000304
t=36 s=32 time=0.000307
t=36 s=9 time=0.000634
t=36 s=8 time=0.000497
t=36 s=7 time=0.00041
t=36 s=6 time=0.000579
t=36 s=5 time=0.000538
t=36 s=4 time=0.000484
t=36 s=3 time=0.000409
t=36 s=2 time=0.000359
t=37 s=37 time=0.0003
t=37 s=33 time=0.000296
t=37 s=12 time=0.000506
t=37 s=10 time=0.000516
t=37 s=7 time=0.000511
t=37 s=6 time=0.000478
t=37 s=4 time=0.000558
t=37 s=3 time=0.000622
t=38 s=38 time=0.000354
t=38 s=34 time=0.000444
t=38 s=13 time=0.000515
t=38 s=11 time=0.000486
t=38 s=10 time=0.000479
t=38 s=8 time=0.000528
t=38 s=7 time=0.000577
t=38 s=6 time=0.000525
t=38 s=5 time=0.000504
t=38 s=4 time=0.000688
t=38 s=3 time=0.000645
t=38 s=2 time=0.000482
t=39 s=39 time=0.000326
t=39 s=35 time=0.000327
t=39 s=12 time=0.000493
t=39 s=11 time=0.000486
t=39 s=10 time=0.000472
