t=40 s=3 time=0.000657
t=40 s=2 time=0.000534
t=41 s=41 time=0.000443
t=41 s=33 time=0.000365
t=41 s=14 time=0.000558
t=41 s=10 time=0.000873
t=41 s=9 time=0.000824
t=41 s=8 time=0.00075
t=41 s=7 time=0.000676
t=41 s=3 time=0.000751
t=42 s=42 time=0.000492
t=42 s=34 time=0.00034
t=42 s=15 time=0.000475
t=42 s=12 time=0.000538
t=42 s=11 time=0.000731
t=42 s=10 time=0.000591
t=42 s=9 time=0.000687
t=42 s=8 time=0.000857
t=42 s=7 time=0.000629
t=42 s=6 time=0.000667
t=42 s=5 time=0.000694
t=42 s=4 time=0.001009
t=42 s=3 time=0.001226
t=43 s=43 time=0.000365
t=43 s=35 time=0.000345
t=43 s=13 time=0.000547
t=43 s=12 time=0.000754
t=43 s=11 time=0.000625
t=43 s=10 time=0.000711
t=43 s=9 time=0.000882
t=43 s=8 time=0.000611
t=43 s=6 time=0.000686
t=43 s=5 time=0.000664
t=43 s=4 time=0.000855
t=44 s=44 time=0.000353
t=44 s=36 time=0.000329
t=44 s=14 time=0.000545
t=44 s=13 time=0.000723
t=44 s=11 time=0.000637
t=44 s=10 time=0.00067
t=44 s=9 time=0.000712
t=44 s=8 time=0.000693
t=44 s=7 time=0.000919
t=44 s=6 time=0.000739
t=44 s=5 time=0.000628
t=44 s=4 time=0.000918
t=44 s=3 time=0.001143
t=44 s=2 time=0.000556
t=45 s=45 time=0.00037
t=45 s=37 time=0.000399
t=45 s=14 time=0.000638
t=45 s=12 time=0.000837
t=45 s=11 time=0.000663
t=45 s=9 time=0.000665
t=45 s=8 time=0.000828
t=45 s=7 time=0.000669
t=45 s=6 time=0.000632
t=45 s=5 time=0.000735
t=45 s=4 time=0.000931
t=45 s=3 time=0.001118
t=46 s=46 time=0.000418
t=46 s=38 time=0.000402
t=46 s=15 time=0.000635
t=46 s=13 time=0.000732
t=46 s=12 time=0.000744
t=46 s=10 time=0.000756
t=46 s=9 time=0.000728
t=46 s=8 time=0.000761
t=46 s=7 time=0.000679
t=46 s=6 time=0.000634
t=46 s=5 time=0.000901
t=46 s=4 time=0.001313
t=47 s=47 time=0.000454
t=47 s=39 time=0.000402
t=47 s=16 time=0.000668
t=47 s=15 time=0.000769
t=47 s=14 time=0.000872
t=47 s=13 time=0.000764
t=47 s=9 time=0.000774
t=47 s=8 time=0.000953
t=47 s=7 time=0.000808
t=48 s=48 time=0.000383
t=48 s=40 time=0.000365
t=48 s=13 time=0.000686
t=48 s=12 time=0.0007
t=48 s=11 time=0.000692
t=48 s=10 time=0.000738
t=48 s=9 time=0.001123
t=48 s=8 time=0.000943
t=48 s=7 time=0.000971
t=48 s=6 time=0.001758
t=48 s=5 time=0.001086
t=48 s=4 time=0.000958
t=48 s=3 time=0.001176
t=49 s=49 time=0.000387
t=49 s=41 time=0.000422
t=49 s=16 time=0.000744
t=49 s=14 time=0.000795
t=49 s=13 time=0.000903
t=49 s=12 time=0.000827
t=49 s=11 time=0.000767
t=49 s=10 time=0.000959
t=49 s=9 time=0.00083
t=49 s=7 time=0.001107
t=49 s=5 time=0.001085
t=50 s=50 time=0.000455
t=50 s=42 time=0.000438
t=50 s=17 time=0.000682
t=50 s=15 time=0.000768
t=50 s=14 time=0.000831
t=50 s=13 time=0.000818
t=50 s=12 time=0.000862
t=50 s=11 time=0.000747
t=50 s=10 time=0.000812
t=50 s=8 time=0.001073
t=50 s=7 time=0.000823
t=50 s=6 time=0.00126
t=50 s=5 time=0.001483
t=50 s=4 time=0.001567
t=50 s=3 time=0.001575
t=51 s=51 time=0.000468
t=51 s=43 time=0.000403
t=51 s=13 time=0.000807
t=51 s=12 time=0.001043
t=51 s=11 time=0.000816
t=51 s=10 time=0.000864
t=51 s=9 time=0.001076
t=51 s=8 time=0.000979
t=51 s=6 time=0.00171
t=51 s=5 time=0.001885
t=51 s=4 time=0.002065
t=52 s=52 time=0.000479
t=52 s=44 time=0.000416
t=52 s=18 time=0.000709
t=52 s=17 time=0.000723
t=52 s=14 time=0.000816
t=52 s=13 time=0.001287
t=52 s=12 time=0.000934
t=52 s=11 time=0.000899
t=52 s=10 time=0.000885
t=52 s=9 time=0.000872
t=52 s=7 time=0.001455
t=52 s=6 time=0.002228
t=52 s=5 time=0.001345
t=52 s=4 time=0.002266
t=53 s=53 time=0.000463
t=53 s=45 time=0.000418
t=53 s=18 time=0.000686
t=53 s=14 time=0.001045
t=53 s=13 time=0.00094
t=53 s=12 time=0.000999
t=53 s=11 time=0.000948
t=53 s=8 time=0.001432
t=53 s=7 time=0.001811
t=53 s=5 time=0.002682
t=53 s=4 time=0.002006
t=54 s=54 time=0.00048
t=54 s=46 time=0.000912
t=54 s=19 time=0.000733
t=54 s=16 time=0.000843
t=54 s=15 time=0.001051
t=54 s=14 time=0.000891
t=54 s=13 time=0.000887
t=54 s=12 time=0.00114
t=54 s=11 time=0.000999
t=54 s=10 time=0.000853
t=54 s=9 time=0.001185
t=54 s=8 time=0.001318
t=54 s=7 time=0.001662
t=54 s=6 time=0.002619
t=54 s=5 time=0.002595
t=54 s=4 time=0.002477
t=55 s=55 time=0.000644
t=55 s=47 time=0.000571
t=55 s=17 time=0.00089
t=55 s=16 time=0.001133
t=55 s=15 time=0.001031
t=55 s=14 time=0.001033
t=55 s=13 time=0.001297
t=55 s=12 time=0.000919
t=55 s=10 time=0.001036
t=55 s=9 time=0.001308
t=55 s=8 time=0.001568
t=55 s=7 time=0.002267
t=55 s=6 time=0.002647
t=56 s=56 time=0.000588
t=56 s=48 time=0.00052
t=56 s=18 time=0.000878
t=56 s=17 time=0.001136
t=56 s=15 time=0.001008
t=56 s=14 time=0.000973
t=56 s=13 time=0.000946
t=56 s=12 time=0.000903
t=56 s=11 time=0.001092
t=56 s=9 time=0.001083
t=56 s=8 time=0.00139
t=56 s=7 time=0.001886
t=56 s=6 time=0.002962
t=56 s=3 time=0.003196
t=57 s=57 time=0.000568
t=57 s=49 time=0.000505
t=57 s=18 time=0.000911
t=57 s=16 time=0.001206
t=57 s=15 time=0.000929
t=57 s=13 time=0.000938
t=57 s=12 time=0.001222
t=57 s=11 time=0.001019
t=57 s=10 time=0.00107
t=57 s=9 time=0.001824
t=57 s=7 time=0.002602
t=57 s=5 time=0.002616
t=57 s=4 time=0.003382
t=58 s=58 time=0.000562
t=58 s=50 time=0.000479
t=58 s=19 time=0.000913
t=58 s=17 time=0.000986
t=58 s=16 time=0.000951
t=58 s=14 time=0.001031
t=58 s=13 time=0.001165
t=58 s=10 time=0.001316
t=58 s=8 time=0.001963
t=58 s=5 time=0.004435
t=59 s=59 time=0.000707
t=59 s=51 time=0.000512
t=59 s=20 time=0.000929
t=59 s=19 time=0.000901
t=59 s=18 time=0.000922
t=59 s=17 time=0.000938
t=59 s=12 time=0.00108
t=59 s=11 time=0.001168
t=59 s=10 time=0.001264
t=59 s=9 time=0.001258
t=59 s=8 time=0.002082
t=59 s=6 time=0.003668
t=60 s=60 time=0.000616
t=60 s=52 time=0.000526
t=60 s=17 time=0.001062
t=60 s=16 time=0.00105
t=60 s=15 time=0.001009
t=60 s=14 time=0.001116
t=60 s=13 time=0.001951
t=60 s=12 time=0.001362
t=60 s=11 time=0.001385
t=60 s=10 time=0.001195
t=60 s=9 time=0.001119
t=60 s=8 time=0.001818
t=60 s=7 time=0.003658
t=60 s=6 time=0.005158
t=60 s=5 time=0.002336
t=60 s=4 time=0.003386
[38;2;000;128;000mTime: 0.362925s (2025-08-28 09:18:47)
[0mt=0 s=0 time=7.8e-05
t=1 s=1 time=0.000362
t=2 s=2 time=0.000388
t=2 s=1 time=0.000401
t=3 s=3 time=0.000332
t=4 s=4 time=0.000303
t=4 s=2 time=0.00026
t=4 s=1 time=0.000264
t=5 s=5 time=0.000282
t=5 s=2 time=0.000264
t=6 s=6 time=0.000339
t=6 s=3 time=0.000392
t=7 s=7 time=0.000308
t=8 s=8 time=0.00027
